16194,29807
53267,58328
16014,33382
74191,75835
7624,9018
34194,42843
52774,53267
1324,47930
62898,78517
19153,58328
18867,33367
47930,89567
48671,95405
8296,30251
7624,74191
33367,53267
53267,62898
47113,58649
66327,100549
52495,99904
7624,36825
47113,47930
74191,99847
16194,55105
9018,75835
3584,58249
33756,47113
37278,85467
51237,52774
7624,88887
53267,96625
19153,94019
38031,58328
15039,74191
25740,74191
10583,18867
13029,70292
8002,74191
16014,53267
33367,47728
16014,62898
51237,53267
47930,79887
30251,96076
16014,19153
46365,82715
16194,80001
18867,52774
47930,87445
37207,47930
47113,90660
47930,96076
85467,101404
63260,91352
1789,7624
14985,30251
33146,96625
414,4346
44551,73538
13752,66759
50547,68131
81963,83313
10583,99433
31777,73538
10583,72733
47930,50547
9018,85467
22876,101404
42741,55105
16014,78517
10583,74191
12896,29794
18867,34828
19153,53267
64421,96625
48992,82715
29807,74191
78517,94019
10583,67675
38299,81963
7624,58328
77807,101404
33367,52774
20789,74191
36042,85467
12835,18867
20444,77807
15039,67675
42741,100079
47930,102559
18867,34194
7624,94428
11108,29807
47930,101404
18867,91352
6545,15715
17470,56383
47930,94828
80239,91158
47113,73538
7873,91352
10583,72733
10583,16194
68324,94019
52612,96625
35419,50547
81963,94019
33367,89567
7873,12835
33367,65240
74191,100079
49870,96076
57355,72087
9018,74191
30251,87445
58328,85467
37359,47930
47113,98668
414,16194
53267,70718
16361,68862
47113,58649
19153,81963
91158,91352
74191,94019
82715,83057
16014,81963
12039,63974
33246,70718
47930,93451
62898,71374
7624,31819
18867,44232
13621,49651
10583,33367
42122,43039
47930,63689
42843,94019
47930,87445
7849,18867
94019,100079
68875,78517
47930,102559
15039,46365
43039,94019
83313,96076
1324,91352
414,78446
46937,47930
12039,33756
7624,85467
67675,78269
33756,35855
42122,78517
18867,42122
414,46365
12835,18867
42122,85467
33146,36825
47113,72388
7624,72733
9018,79446
18867,102559
30251,87445
70292,94019
52774,85467
10583,53267
16194,53267
10583,38031
68875,102559
18867,52774
34361,68131
9018,58328
20444,62898
61541,74191
10583,52774
42122,91158
7624,72733
51237,53267
58328,92030
33756,73538
19153,74191
30313,58328
81459,94019
53267,78517
20444,74191
38393,47113
34194,86157
